tconst,averageRating,numVotes
tt0111161,9.3,3094494
tt0468569,9.1,3069830
tt1375666,8.8,2726803
tt0137523,8.8,2511031
tt0944947,9.2,2476808
tt0109830,8.8,2416542
tt0816692,8.7,2400868
tt0903747,9.5,2392675
tt0110912,8.8,2366682
tt0133093,8.7,2184543
tt0068646,9.2,2157082
tt0120737,8.9,2138116
tt0167260,9.0,2104938
tt0114369,8.6,1946123
tt1345836,8.4,1939722
tt0167261,8.8,1898827
tt1853728,8.5,1819753
tt0172495,8.5,1791094
tt0993846,8.2,1717615
tt0361748,8.4,1714343
tt0372784,8.2,1668877
tt0102926,8.6,1660560
tt7286456,8.3,1638074
tt0120815,8.6,1591066
tt1130884,8.2,1578234
tt0108052,9.0,1543840
tt0482571,8.5,1538496
tt0076759,8.6,1530268
tt0848228,8.0,1525466
tt0407887,8.5,1509462
tt0120689,8.6,1509392
tt4574334,8.6,1482254
tt0080684,8.7,1463669
tt0071562,9.0,1449937
tt0499549,7.9,1444443
tt0088763,8.5,1400224
tt0209144,8.4,1397167
tt4154796,8.4,1386121
tt0120338,7.9,1355202
tt0099685,8.7,1346923
tt2015381,8.0,1333315
tt0110413,8.5,1318055
tt4154756,8.4,1316156
tt0120382,8.2,1312754
tt0325980,8.1,1284975
tt0910970,8.4,1279456
tt0266697,8.2,1266725
tt0169547,8.3,1259569
tt0103064,8.6,1249533
tt0120586,8.5,1244046
tt0434409,8.1,1225413
tt1431045,8.0,1222773
tt0110357,8.5,1220701
tt0114814,8.5,1204525
tt1049413,8.3,1199932
tt0371746,7.9,1191224
tt0264464,8.1,1186780
tt0081505,8.4,1183598
tt1392190,8.1,1180231
tt0086190,8.3,1180195
tt0266543,8.2,1175374
tt1520211,8.1,1159938
tt0108778,8.9,1159670
tt0119217,8.3,1159155
tt0338013,8.3,1151664
tt0105236,8.3,1145078
tt0477348,8.2,1144946
tt0107290,8.2,1142990
tt0112573,8.3,1139869
tt0114709,8.3,1139073
tt2267998,8.1,1136545
tt0073486,8.7,1130192
tt0167404,8.2,1113130
tt2582802,8.5,1097522
tt6751668,8.5,1096984
tt0082971,8.4,1086418
tt1475582,9.0,1060415
tt1392170,7.2,1055390
tt0198781,8.1,1043041
tt0268978,8.2,1032252
tt0078748,8.5,1031992
tt1201607,8.1,1012693
tt2488496,7.7,1009007
tt0095016,8.2,1000302
tt0075314,8.2,994535
tt1675434,8.5,992855
tt0086250,8.3,983180
tt0253474,8.5,982319
tt3659388,8.0,979749
tt0088247,8.1,976990
tt1160419,8.0,975694
tt10872600,8.2,975297
tt2395427,7.3,974144
tt7366338,9.3,973236
tt0208092,8.2,955822
tt0180093,8.3,950274
tt1843866,7.7,948254
tt0050083,9.0,946877
tt0458339,6.9,945651
tt0800369,7.0,944839
tt0435761,8.3,943981
tt1300854,7.1,943725
tt2278388,8.1,939885
tt0145487,7.4,937883
tt15398776,8.3,934741
tt0245429,8.6,928940
tt7131622,7.6,926505
tt1663202,8.0,921710
tt0066921,8.2,919904
tt0898266,8.1,917766
tt0241527,7.7,917425
tt1228705,6.9,915322
tt0903624,7.8,910364
tt0120915,6.5,904730
tt0382932,8.1,904598
tt3315342,8.1,902682
tt3498820,7.8,902408
tt1119646,7.7,900870
tt1010048,8.0,899740
tt0118715,8.1,899362
tt0416449,7.6,898081
tt0121766,7.6,897709
tt1877830,7.8,892852
tt1392214,8.2,892167
tt0246578,8.0,891845
tt1825683,7.3,887935
tt1454468,7.7,887568
tt2096673,8.1,883051
tt0773262,8.6,874229
tt0317705,8.0,870793
tt3501632,7.9,869264
tt0947798,8.0,868920
tt0060196,8.8,866994
tt0892769,8.1,865436
tt0083658,8.1,862982
tt2084970,8.0,861288
tt0480249,7.2,858867
tt1211837,7.5,856996
tt0770828,7.1,852182
tt0317248,8.6,848183
tt0097576,8.2,847204
tt1205489,8.1,846930
tt0378194,8.0,846476
tt2543164,7.9,832583
tt0093058,8.2,831947
tt8946378,7.9,829973
tt0211915,8.3,825224
tt0090605,8.4,819098
tt0401792,8.0,812432
tt3896198,7.6,807107
tt0383574,7.4,806768
tt1745960,8.2,801673
tt0121765,6.6,800927
tt1190634,8.6,800366
tt1285016,7.8,800059
tt2911666,7.5,798891
tt0144084,7.6,797324
tt0386676,9.0,792137
tt0118799,8.6,789183
tt0126029,7.9,785585
tt5013056,7.8,784019
tt1631867,7.9,783775
tt2975590,6.4,779970
tt5052448,7.8,776538
tt1877832,7.9,776384
tt0113277,8.3,772389
tt2024544,8.1,771461
tt2250912,7.4,771078
tt0460649,8.3,766324
tt0116282,8.1,764687
tt1045658,7.7,763773
tt0816711,7.0,763109
tt0062622,8.3,763013
tt0054215,8.5,762365
tt0478970,7.2,761775
tt2802144,7.7,761011
tt1981115,6.7,760647
tt3032476,9.0,760115
tt0316654,7.5,759998
tt1074638,7.8,756989
tt1951264,7.5,756298
tt0117951,8.1,756234
tt0405159,8.1,752947
tt1270798,7.7,752771
tt0078788,8.4,750908
tt4633694,8.4,750204
tt1670345,7.2,748141
tt1386697,5.9,747720
tt0780504,7.8,744908
tt0948470,6.9,743876
tt8579674,8.2,742247
tt1136608,7.9,740982
tt0304141,7.9,740811
tt0295297,7.5,740733
tt1170358,7.8,738629
tt3748528,7.8,736242
tt3783958,8.0,732339
tt0457430,8.2,731524
tt0421715,7.8,729919
tt2442560,8.7,729215
tt0330373,7.7,728209
tt0449088,7.1,727632
tt1856101,8.0,726498
tt0451279,7.3,725948
tt1504320,8.0,725207
tt0107048,8.0,725108
tt0381061,8.0,724998
tt5463162,7.6,724371
tt2356777,8.9,718863
tt10919420,8.0,716160
tt0073195,8.1,714762
tt0369610,6.9,714320
tt1798709,8.0,710456
